UC,Epochs,f1,Metric
Steal,100,0.6783391498807814,0.1017526556640285
Steal,500,0.8607093480563641,0.0649931724845179
Steal,1000,0.744484737178308,0.0719688545134626
Steal,1500,0.868138093930046,0.0772119691364667
Steal,2000,0.8184068272953032,0.0800820725524076
Steal,2500,0.8707204391368419,0.0760862590821747
Steal,5000,0.7865966423438469,0.0549364851351844
Steal,10000,0.8617406725949749,0.0664155692956397
Nifty,100,0.973108052724182,0.1520880719885728
Nifty,500,0.9879357275822176,0.1060610240918319
Nifty,1000,0.9901156598807092,0.0811937251927341
Nifty,1500,1.0068504681831152,0.0750549158209415
Nifty,2000,1.0003432489438169,0.117772384866906
Nifty,2500,0.995367788894192,0.0591530378305446
Nifty,5000,0.9805107790354588,0.0737818787177128
Nifty,10000,1.0076702860747146,0.0281687015011294
