UC,Epochs,f1,Metric
Steal,100,0.6783391498807814,0.5357379564784432
Steal,500,0.8607093480563641,0.732611783143151
Steal,1000,0.744484737178308,0.7128230243074261
Steal,1500,0.868138093930046,0.7315000734609922
Steal,2000,0.8184068272953032,0.6961588063405
Steal,2500,0.8707204391368419,0.6929689668119562
Steal,5000,0.7865966423438469,0.7457433436178722
Steal,10000,0.8617406725949749,0.7484450756648219
Nifty,100,0.973108052724182,0.3625288399712545
Nifty,500,0.9879357275822176,0.4110934604183214
Nifty,1000,0.9901156598807092,0.4571806800559779
Nifty,1500,1.0068504681831152,0.3830118385718067
Nifty,2000,1.0003432489438169,0.3883316313022428
Nifty,2500,0.995367788894192,0.4396327395135973
Nifty,5000,0.9805107790354588,0.4355005862551533
Nifty,10000,1.0076702860747146,0.651770112334052
