UC,Epochs,f1,Metric
Steal,1,0.6163204071910198,0.0060117942532131
Steal,2,0.7696141796707334,0.0062134160310192
Steal,4,0.243512997923241,0.0060130441342094
Steal,8,0.7063138787587699,0.00590555354476
Steal,16,0.6942334886737387,0.0058771482332925
Steal,32,0.6744005542385809,0.0057147844403262
Steal,64,0.4719549974393218,0.005498302928151
Steal,100,0.6783391498807815,0.0053040828872335
Steal,250,0.6789203781958,0.0048354026601058
Steal,500,0.8685081963684462,0.0046576860615689
Steal,1000,0.7459640399610005,0.0046764874788226
Steal,1500,0.8696921473728377,0.0049829255407299
Steal,2000,0.8184068272953032,0.004793199513921
Steal,2500,0.8792068464062082,0.005004080535107
Steal,5000,0.7860622555828496,0.0048748005087777
Steal,10000,0.8704662324312498,0.0050881599004168
Nifty,1,1.005107702469815,0.0014646740308203
Nifty,2,0.9391744226449604,0.0015381052007636
Nifty,4,0.8717961056981688,0.001500457502535
Nifty,8,1.0084292144991205,0.0015191805249783
Nifty,16,0.9846880442140966,0.0015669463617038
Nifty,32,0.9687236937405193,0.0016052621453591
Nifty,64,0.9665999131511892,0.0015614539503032
Nifty,100,0.973108052724182,0.0009959232121378
Nifty,250,0.9766293624195872,0.0011878567628631
Nifty,500,0.9879357275822176,0.0012505076512202
Nifty,1000,0.9898818809638332,0.0022923956485143
Nifty,1500,1.0068504681831152,0.001431679371942
Nifty,2000,1.003097655525974,0.0037772537332171
Nifty,2500,0.9953677888941916,0.0012855236445399
Nifty,5000,0.9805107790354588,0.0014019260656079
Nifty,10000,1.0076702860747146,0.0011330219915766
